,movie_title,year,place,star_cast,rating,vote,link
0, Cadena perpetua,1994,1,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",9.239856258618092,,/title/tt0111161/
1, El padrino,1972,2,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",9.160737544918108,,/title/tt0068646/
2, El caballero oscuro,2008,3,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",8.992193010863582,,/title/tt0468569/
3, El padrino: Parte II,1974,4,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",8.9899820371598,,/title/tt0071562/
4, 12 hombres sin piedad,1957,5,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",8.950328875940587,,/title/tt0050083/
5, La lista de Schindler,1993,6,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",8.939712393838871,,/title/tt0108052/
6, El señor de los anillos: El retorno del rey,2003,7,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",8.926837886720827,,/title/tt0167260/
7, Pulp Fiction,1994,8,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",8.859191334939089,,/title/tt0110912/
8, El señor de los anillos: La comunidad del anillo,2001,9,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.811178590886895,,/title/tt0120737/
9,", El bueno, el feo y el malo",1966,1,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach",8.802657254023883,,/title/tt0060196/
10, Forrest Gump,1994,11,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",8.776298882608698,,/title/tt0109830/
11, El club de la lucha,1999,12,"David Fincher (dir.), Brad Pitt, Edward Norton",8.760214616987689,,/title/tt0137523/
12, Origen,2010,13,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",8.743721978288637,,/title/tt1375666/
13, El señor de los anillos: Las dos torres,2002,14,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.73522610427929,,/title/tt0167261/
14, El Imperio contraataca,1980,15,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",8.710048580258546,,/title/tt0080684/
15, Matrix,1999,16,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",8.680647464080074,,/title/tt0133093/
16, Uno de los nuestros,1990,17,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",8.65870470738158,,/title/tt0099685/
17, Alguien voló sobre el nido del cuco,1975,18,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",8.64979793233308,,/title/tt0073486/
18, Seven,1995,19,"David Fincher (dir.), Morgan Freeman, Brad Pitt",8.611536418949026,,/title/tt0114369/
19, Los siete samuráis,1954,20,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",8.604479973071196,,/title/tt0047478/
20, ¡Qué bello es vivir!,1946,21,"Frank Capra (dir.), James Stewart, Donna Reed",8.603990626389473,,/title/tt0038650/
21, El silencio de los corderos,1991,22,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins",8.596290549866021,,/title/tt0102926/
22, Salvar al soldado Ryan,1998,23,"Steven Spielberg (dir.), Tom Hanks, Matt Damon",8.585455039616969,,/title/tt0120815/
23, Ciudad de Dios,2002,24,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino",8.585195750362253,,/title/tt0317248/
24, La vida es bella,1997,25,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi",8.572196467489341,,/title/tt0118799/
25, La milla verde,1999,26,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan",8.567643830750194,,/title/tt0120689/
26, La guerra de las galaxias,1977,27,"George Lucas (dir.), Mark Hamill, Harrison Ford",8.564996483707148,,/title/tt0076759/
27, Interstellar,2014,28,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway",8.562163404137705,,/title/tt0816692/
28, Terminator 2: El juicio final,1991,29,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.544437365202613,,/title/tt0103064/
29, Regreso al futuro,1985,30,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd",8.527283477172325,,/title/tt0088763/
30, El viaje de Chihiro,2001,31,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette",8.523518267983013,,/title/tt0245429/
31, Psicosis,1960,32,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh",8.515784314922284,,/title/tt0054215/
32, El profesional (Léon),Léon,33,"Luc Besson (dir.), Jean Reno, Gary Oldman",8.512933548489421,,/title/tt0110413/
33, El pianista,2002,34,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann",8.511672136034527,,/title/tt0253474/
34, Parásitos,2019,35,"Bong Joon Ho (dir.), Kang-ho Song, Sun-kyun Lee",8.50221334988245,,/title/tt6751668/
35, El rey león,1994,36,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons",8.498571068261695,,/title/tt0110357/
36, Gladiator (El gladiador),El gladiador,37,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix",8.4947362561846,,/title/tt0172495/
37, American History X,1998,38,"Tony Kaye (dir.), Edward Norton, Edward Furlong",8.494120758810103,,/title/tt0120586/
38, Spider-Man: No Way Home,2021,39,"Jon Watts (dir.), Tom Holland, Zendaya",8.490366496872486,,/title/tt10872600/
39, Sospechosos habituales,1995,40,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne",8.486799983421191,,/title/tt0114814/
40, Infiltrados,2006,41,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon",8.484080925128927,,/title/tt0407887/
41, El truco final (El prestigio),El prestigio,42,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman",8.478008654565295,,/title/tt0482571/
42, Casablanca,1942,43,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman",8.472147745174082,,/title/tt0034583/
43, Whiplash,2014,44,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons",8.465189143287343,,/title/tt2582802/
44, Intocable,2011,45,"Olivier Nakache (dir.), François Cluzet, Omar Sy",8.462862882243451,,/title/tt1675434/
45, Tiempos modernos,1936,46,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.456840108492425,,/title/tt0027977/
46, Hasta que llegó su hora,1968,47,"Sergio Leone (dir.), Henry Fonda, Charles Bronson",8.455811222357672,,/title/tt0064116/
47, Harakiri,1962,48,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama",8.452702412824038,,/title/tt0056058/
48, La tumba de las luciérnagas,1988,49,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi",8.451701809364282,,/title/tt0095327/
49," Alien, el octavo pasajero",1979,50,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt",8.44371246820139,,/title/tt0078748/
50, La ventana indiscreta,1954,51,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly",8.44340096619992,,/title/tt0047396/
51, Luces de la ciudad,1931,52,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill",8.441421019462615,,/title/tt0021749/
52, Memento,2000,53,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss",8.435720239360066,,/title/tt0209144/
53, Apocalypse Now,1979,54,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando",8.432273845596086,,/title/tt0078788/
54, Cinema Paradiso,1988,55,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale",8.431182974131465,,/title/tt0095765/
55, En busca del arca perdida,1981,56,"Steven Spielberg (dir.), Harrison Ford, Karen Allen",8.42163322718118,,/title/tt0082971/
56, Django desencadenado,2012,57,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz",8.410618729743046,,/title/tt1853728/
57, WALL·E,2008,58,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",8.401664535654563,,/title/tt0910970/
58, La vida de los otros,2006,59,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck",8.391921908614032,,/title/tt0405094/
59, El crepúsculo de los dioses,1950,60,"Billy Wilder (dir.), William Holden, Gloria Swanson",8.38856536578014,,/title/tt0043014/
60, El resplandor,1980,61,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",8.377091280679908,,/title/tt0081505/
61, Senderos de gloria,1957,62,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",8.375761493020248,,/title/tt0050825/
62, El gran dictador,1940,63,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.373297823370573,,/title/tt0032553/
63, Vengadores: Infinity War,2018,64,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",8.3651484196524,,/title/tt4154756/
64, Testigo de cargo,1957,65,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",8.357917607489966,,/title/tt0051201/
65, Aliens: El regreso,1986,66,"James Cameron (dir.), Sigourney Weaver, Michael Biehn",8.35413957215029,,/title/tt0090605/
66, American Beauty,1999,67,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",8.348176739964835,,/title/tt0169547/
67, El caballero oscuro: La leyenda renace,2012,68,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",8.346442626290061,,/title/tt1345836/
68, ¿Teléfono rojo? Volamos hacia Moscú,1964,69,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",8.340920149215018,,/title/tt0057012/
69, Joker,2019,70,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro",8.336352796882501,,/title/tt7286456/
70, Spider-Man: Un nuevo universo,2018,71,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson",8.333884944167924,,/title/tt4633694/
71, Old Boy,2003,72,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-Tae",8.32648243047765,,/title/tt0364569/
72, Braveheart,1995,73,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",8.32644827813269,,/title/tt0112573/
73, Toy Story,1995,74,"John Lasseter (dir.), Tom Hanks, Tim Allen",8.323850185412203,,/title/tt0114709/
74, Amadeus,1984,75,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",8.321484033583737,,/title/tt0086879/
75, Coco,2017,76,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",8.320386462603528,,/title/tt2380307/
76, Malditos bastardos,2009,77,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",8.317883211203341,,/title/tt0361748/
77, El submarino (Das Boot),Das Boot,78,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",8.31745083465001,,/title/tt0082096/
78, Vengadores: Endgame,2019,79,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",8.312411049701394,,/title/tt4154796/
79, La princesa Mononoke,1997,80,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",8.311510183114212,,/title/tt0119698/
80, Érase una vez en América,1984,81,"Sergio Leone (dir.), Robert De Niro, James Woods",8.311013805525683,,/title/tt0087843/
81, El indomable Will Hunting,1997,82,"Gus Van Sant (dir.), Robin Williams, Matt Damon",8.293208073383116,,/title/tt0119217/
82, Toy Story 3,2010,83,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",8.289464964601477,,/title/tt0435761/
83, Réquiem por un sueño,2000,84,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",8.287244626963407,,/title/tt0180093/
84, 3 Idiots,2009,85,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",8.280999624866496,,/title/tt1187043/
85, Cantando bajo la lluvia,1952,86,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",8.280791567334088,,/title/tt0045152/
86," Your Name,",2016,87,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",8.279859072481628,,/title/tt5311514/
87, El retorno del jedi,1983,88,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",8.279037048059557,,/title/tt0086190/
88, Reservoir Dogs,1992,89,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",8.2750364442796,,/title/tt0105236/
89, ¡Olvídate de mí!,2004,90,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",8.274785739959809,,/title/tt0338013/
90, 2001: Una odisea del espacio,1968,91,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",8.27380768929978,,/title/tt0062622/
91, Ciudadano Kane,1941,92,"Orson Welles (dir.), Orson Welles, Joseph Cotten",8.265693688146326,,/title/tt0033467/
92, El infierno del odio,1963,93,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada",8.265117852825679,,/title/tt0057565/
93, Lawrence de Arabia,1962,94,"David Lean (dir.), Peter O'Toole, Alec Guinness",8.263045500359382,,/title/tt0056172/
94," M, el vampiro de Düsseldorf",1931,95,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",8.261372090942835,,/title/tt0022100/
95, Con la muerte en los talones,1959,96,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",8.261139970627797,,/title/tt0053125/
96, Cafarnaúm,2018,97,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",8.261016759210825,,/title/tt8267604/
97, La caza,2012,98,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",8.259674950988328,,/title/tt2106476/
98, Vértigo (De entre los muertos),De entre los muertos,99,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",8.25502993421249,,/title/tt0052357/
99,", Amelie",2001,10,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",8.254884693598505,,/title/tt0211915/
100, La naranja mecánica,1971,101,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",8.25456573039585,,/title/tt0066921/
101, La chaqueta metálica,1987,102,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",8.248509404097364,,/title/tt0093058/
102, El precio del poder,1983,103,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",8.246203560990182,,/title/tt0086250/
103, Perdición,1944,104,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",8.24333732620292,,/title/tt0036775/
104, El apartamento,1960,105,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",8.240848857469361,,/title/tt0053604/
105, Masacre (Ven y mira),Ven y mira,106,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",8.240580330803883,,/title/tt0091251/
106, Taxi Driver,1976,107,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",8.239721886108262,,/title/tt0075314/
107, Hamilton,2020,108,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo",8.2366980155843,,/title/tt8503618/
108, Matar a un ruiseñor,1962,109,"Robert Mulligan (dir.), Gregory Peck, John Megna",8.236373578679265,,/title/tt0056592/
109," L,A, Confidential",1997,110,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",8.234656541984876,,/title/tt0119488/
110, El golpe,1973,111,"George Roy Hill (dir.), Paul Newman, Robert Redford",8.234609037135844,,/title/tt0070735/
111, Up,2009,112,"Pete Docter (dir.), Edward Asner, Jordan Nagai",8.234363181526653,,/title/tt1049413/
112, Heat,1995,113,"Michael Mann (dir.), Al Pacino, Robert De Niro",8.232014389663725,,/title/tt0113277/
113, Ikiru (Vivir),Vivir,114,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",8.230589922995756,,/title/tt0044741/
114," Snatch, cerdos y diamantes",2000,115,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",8.230564544823524,,/title/tt0208092/
115, Jungla de cristal,1988,116,"John McTiernan (dir.), Bruce Willis, Alan Rickman",8.230085231248683,,/title/tt0095016/
116, Indiana Jones y la última cruzada,1989,117,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",8.22823859975864,,/title/tt0097576/
117," Nader y Simin, una separación",2011,118,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",8.227802018386491,,/title/tt1832382/
118, Metrópolis,1927,119,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",8.226798921393092,,/title/tt0017136/
119, Ladrón de bicicletas,1948,120,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",8.223372793888526,,/title/tt0040522/
120, Incendios,2010,121,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",8.222602072138821,,/title/tt1255953/
121, 1917,2019,122,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay",8.219924601685353,,/title/tt8579674/
122, Taare Zameen Par,2007,123,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",8.218830879948293,,/title/tt0986264/
123, Batman Begins,2005,124,"Christopher Nolan (dir.), Christian Bale, Michael Caine",8.217611663630986,,/title/tt0372784/
124, La muerte tenía un precio,1965,125,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",8.212390145805486,,/title/tt0059578/
